"","player","team","gp","pim_60","ev_goals_60","ev_assists_60","shot_att_60","shot_pct","thru_pct","ev_60","toi_even","blk_60","hit_60","cf_60","ca_60","corsi_pct","oishot_pct","oisv_pct","off_zs_pct","takeaway_60","giveaway_60","cluster","defense","offense","scoring"
"118","John Moore","BOS",24,1.6624685138539,0.346420323325635,0.173210161662818,10.2770780856423,6.1,48.5,52.352644836272,14.4333333333333,4.08060453400504,5.44080604534005,56.1200923787529,54.5612009237875,50.7,7.7,91.2,56.6,0.302267002518892,1.05793450881612,"Stay-at-Home Defender",2.76422143274479,-1.98073940137353,0.14512041458673
"119","Johnny Boychuk","NYI",64,0.759493670886076,0.0629194630872483,0.566275167785235,11.500904159132,2.1,45.3,51.7323688969259,14.9,6.94394213381555,7.32368896925859,54.6770134228188,66.5687919463087,45.1,7,92.3,53.6,0.325497287522604,2.7124773960217,"Bottom Pair Player",-3.56400870643068,-1.77081413875803,-3.83320901145189
"120","Jonas Brodin","MIN",69,0.968392737054472,0.0920986991058751,1.05913503971756,7.82784129119032,1.9,53.1,52.5736381977135,18.8833333333333,4.5191661062542,1.65433759246806,52.0357649948194,54.7526766184428,48.7,10.6,91.1,47.1,0.564895763281775,0.645595158036315,"Forward Playing Defense",-1.33485968914719,0.673195723288231,0.384886750137554
"121","Jonas Siegenthaler","WSH",64,2.56206554121152,0.151617250673854,0.530660377358491,6.55412115193645,4.1,44.5,47.1578947368421,12.3666666666667,6.25620655412115,3.03872889771599,57.2355121293801,55.8709568733154,50.6,8.1,93.3,46.6,0.774577954319762,1.90665342601787,"Bottom Pair Player",-3.19815093884383,-2.3393085686183,-1.75031234393521
"122","Jonathan Ericsson","DET",18,0.9375,0,0,7.265625,0,51.6,52.171875,12.3666666666667,3.28125,5.625,48.5175202156334,65.7681940700809,42.5,2.8,89,47.2,0.234375,4.6875,"Healthy Scratch",-3.24800534740774,-4.24268409266617,-7.06673154403678
"123","Jonathon Merrill","VEG",49,2.15730337078652,0.147825729889541,0.295651459779083,6.53932584269663,5.4,38.1,54.7258426966292,16.5666666666667,4.78651685393258,3.43820224719101,55.3607358436332,49.8911838377202,52.6,8.8,92.1,54.4,0.943820224719101,1.82022471910112,"Stay-at-Home Defender",1.57481540231283,-1.93728137124844,-2.02755005257441
"124","Jordan Oesterle","ARI",58,0.851063829787234,0.206666921811015,0.551111791496039,9.66565349544073,4.3,43.4,52.9463019250253,15.0166666666667,5.34954407294833,2.91793313069909,57.246737341651,63.5156339699185,47.4,5.5,92.9,49.5,0.668693009118541,2.24924012158055,"Bottom Pair Player",-1.54539939857068,-0.653844092536165,-2.13451834646123
"125","Jordie Benn","VAN",44,1.42259414225941,0.0996567379027793,0.597940427416676,9.6234309623431,1.7,50.4,50.3821478382148,13.6833333333333,5.18828451882845,3.76569037656904,50.3266526409036,65.8731037537371,43.3,8.5,92.3,45.6,0.585774058577406,1.42259414225941,"Bottom Pair Player",-4.38785690373287,-2.36134816604217,-2.24471459245154
"126","Josh Brown","FLA",56,3.11584553928096,0.251771726967549,0.419619544945916,7.74966711051931,6.3,49.5,57.1185086551265,12.7666666666667,4.23435419440746,6.15179760319574,53.4595300261097,57.9914211115255,48,9,92.4,54,0.798934753661784,1.91744340878828,"Stay-at-Home Defender",0.0502132701600519,-4.07488161831472,-0.716043686409799
"127","Josh Mahura","ANA",11,0.670391061452514,0.375743659325749,1.12723097797725,8.37988826815642,9.1,44,53.5251396648045,14.5166666666667,3.68715083798883,0.670391061452514,60.4947291514456,64.6279094040288,48.3,9.4,89,58.4,0.670391061452514,1.67597765363128,"Two-Way Player",2.74766998194361,3.34486110556708,2.9993241612117
