,player,team,gp,pim_60,ev_goals_60,ev_assists_60,shot_att_60,shot_pct,thru_pct,ev_60,toi_even,blk_60,hit_60,cf_60,ca_60,corsi_pct,oishot_pct,oisv_pct,off_zs_pct,takeaway_60,giveaway_60,cluster,defense,offense,finishing
55,Colton Parayko,STL,64,0.652173913,0.328672788,0.704298831,11.57608696,6.2,57,52.08695652,19.96666667,4.320652174,3.546195652,50.05217028,51.9303005,49.1,9.2,91.9,47.4,1.345108696,1.671195652,Forward Playing Defense,0.656053564,2.642768086,3.520263329
56,Connor Carrick,NJD,29,2.440191388,0.150106325,0.750531627,7.320574163,4,49,57.37559809,13.78333333,5.598086124,3.875598086,45.03189759,66.49710211,40.4,8.9,91.6,41.5,0.717703349,1.722488038,Bottom Pair Player,-6.213996257,-4.332665772,-2.302125485
57,Connor Clifton,BOS,31,1.610738255,0.280166543,0,7.248322148,10,37,57.49217002,13.81666667,4.429530201,12.08053691,48.32872874,56.4535585,46.1,9.7,93.8,53.5,1.610738255,0.939597315,Stay-at-Home Defender,0.305833516,-5.658403671,-1.153507267
58,Connor Murphy,CHI,58,1.313868613,0.281109445,0.730884558,11.48418491,4.3,49.6,51.93187348,18.4,6.715328467,6.228710462,56.5029985,56.78410795,49.9,9.7,90.6,46,0.827250608,2.141119221,Forward Playing Defense,-2.21211634,1.387663173,1.060097348
59,Dakota Mermis,NJD,10,1.25,0.350877193,1.052631579,10.3125,5.9,51.5,53.4375,17.1,6.5625,6.25,56.49122807,64.21052632,46.8,12.9,94.6,39.6,0.3125,2.1875,Bottom Pair Player,-6.198815613,0.627434426,2.698766585
60,Damon Severson,NJD,69,1.96969697,0.238672978,0.76375353,8.371212121,7,51.6,47.61174242,18.21666667,3.674242424,3.068181818,53.08087036,58.99996022,47.4,7.6,89.8,45,1.325757576,2.765151515,Forward Playing Defense,-1.511077461,2.587246572,2.193247362
61,Dan Hamhuis,NSH,60,2.411021814,0,0.670391061,6.957520092,0,43.6,49.32261768,11.93333333,3.65097589,4.408725603,55.72625698,54.63687151,50.5,7.6,92.4,48.6,0.619977038,2.342135476,Stay-at-Home Defender,-0.82770372,-2.979454383,-4.045698269
62,Danny DeKeyser,DET,8,1.363636364,0,1.612903226,7.840909091,0,52.2,50.72727273,18.6,6.136363636,2.045454545,45.56451613,66.53225806,40.6,17.2,91.2,36,0,2.727272727,Bottom Pair Player,-10,1.687667183,0.502336101
63,Dante Fabbro,NSH,64,1.871921182,0.208913649,0.313370474,9.408866995,5.4,48.2,56.591133,17.95,4.187192118,2.660098522,56.87674095,55.20543175,50.7,7.3,90.7,51.4,1.133004926,1.921182266,Two-Way Player,1.717117495,-0.08751135,-0.39336086
64,Darnell Nurse,EDM,71,1.72972973,0.211091696,0.971021801,11.85585586,2.9,51.7,51.21381381,20.01666667,5.081081081,6.198198198,56.10817277,61.04771845,47.9,9.7,90.7,50.9,0.936936937,1.945945946,Forward Playing Defense,-1.20713619,2.411653098,1.434424552
65,David Savard,CBJ,68,1.492537313,0,0.432368955,8.230277186,0,50.3,53.2594172,18.36666667,6.950959488,5.501066098,52.94117647,61.01206363,46.5,7.6,92.1,41.5,0.767590618,1.833688699,Bottom Pair Player,-6.054641849,-2.641858468,-3.939658364
66,Dean Kukan,CBJ,33,1.366223909,0,0.495867769,10.24667932,2,56.7,55.10436433,14.66666667,3.187855787,2.732447818,52.68595041,51.32231405,50.7,5.4,90.1,60.5,0.796963947,1.593927894,Stay-at-Home Defender,4.496406398,-1.704487401,-2.496901717
67,Dennis Cholowski,DET,36,0.520231214,0.102040816,0.204081633,8.757225434,3.9,50.5,50.98265896,16.33333333,3.034682081,1.300578035,52.95918367,58.67346939,47.4,4.6,89,55,0.346820809,1.820809249,Stay-at-Home Defender,1.979690562,-0.521955916,-2.362770532
68,Dennis Gilbert,CHI,21,6.909090909,0.199567604,0.399135207,3.454545455,8.3,63.2,54.66363636,14.31666667,6,13.45454545,44.70314319,63.46249792,41.3,9.2,89.7,44.3,0.363636364,0.727272727,Healthy Scratch,-8.324298427,-10,-0.274875495
69,Derek Forbort,TOT,20,0.674157303,0,0.184615385,9.269662921,0,40,54.7752809,16.25,5.056179775,5.898876404,48.73846154,50.95384615,48.9,3.6,93.3,50,0.337078652,2.696629213,Healthy Scratch,-0.485105516,-4.385185179,-6.932649347
70,Deryk Engelland,VEG,49,2.581395349,0.086740718,0.34696287,8.093023256,1.7,50.9,48.25930233,14.11666667,6,7.953488372,59.3306508,56.3814664,51.3,8.8,91.2,55.3,1.046511628,1.186046512,Stay-at-Home Defender,-0.859001202,-2.653464244,-1.974728907
71,Devon Toews,NYI,68,0.688172043,0.248084238,0.84348641,11.13978495,4.9,47.1,52.01146953,17.78333333,3.225806452,2.365591398,56.66244005,54.97546723,50.8,8.5,91.5,53.6,1.376344086,2.451612903,Two-Way Player,3.113626397,3.611070007,1.686881012
72,Dmitry Kulikov,WPG,51,1.880509305,0.127071531,0.508286123,8.285994123,3.7,38.3,55.49559256,18.51666667,4.524975514,6.11165524,57.05511728,54.95843702,50.9,7.2,91.7,54.4,0.940254652,3.232125367,Stay-at-Home Defender,0.90023068,-0.462081598,-2.726346097
73,Dmitry Orlov,WSH,69,1.411764706,0.132197415,0.793184489,8.784313725,3.8,46.9,53.39607843,19.73333333,3.215686275,4.156862745,60.23795535,52.6586369,53.4,9.9,90.1,50.5,1.921568627,2.549019608,Two-Way Player,2.572115225,3.576674654,1.17662099
74,Dougie Hamilton,CAR,47,1.755027422,0.867121638,1.083902047,18.59232176,8.2,50.1,45.5393053,17.66666667,3.455210238,2.851919561,67.63548776,49.57045363,57.7,10,92.6,51.6,1.206581353,2.193784278,Norris Candidate,6.645622528,9.123480609,10
75,Drew Doughty,LAK,67,1.248554913,0.087084835,0.783763516,10.43930636,5,46.8,47.79075145,20.56666667,3.01734104,3.676300578,55.42949757,54.90698856,50.2,7.3,90.6,49.4,0.520231214,2.843930636,Forward Playing Defense,0.755894375,3.111400891,0.454478846
76,Duncan Keith,CHI,61,0.725806452,0.051052243,0.765783652,10.32258065,2.7,43.4,47.38978495,19.26666667,4.717741935,1.048387097,58.45481876,60.95637869,49,8.8,92,54,1.693548387,2.983870968,Forward Playing Defense,-0.030895876,4.658804314,-0.254434292
77,Dylan DeMelo,TOT,59,1.868686869,0,0.477627782,7.424242424,0,50.3,50.75589226,17.03333333,3.888888889,5.303030303,59.46465886,52.47935255,53.1,8,91.1,48.9,0.454545455,2.121212121,Stay-at-Home Defender,-0.148031654,-1.319960723,-2.837536393
78,Dylan McIlrath,DET,16,5.82278481,0,0,8.35443038,0,42.4,49.01265823,12.1,3.037974684,12.15189873,42.14876033,53.30578512,44.2,2.9,91,46.4,1.012658228,2.025316456,Healthy Scratch,-2.221792312,-9.493332058,-6.982852652
79,Erik Brannstrom,OTT,31,2.086956522,0,0.440996325,11.73913043,0,42.2,53.23913043,13.16666667,4.695652174,1.956521739,55.12454063,57.77051858,48.8,8.3,88.9,53.1,0.652173913,2.608695652,Stay-at-Home Defender,0.958765283,-0.989531003,-4.17656513
80,Erik Cernak,TBL,67,2.787401575,0.287641024,0.402697434,9.732283465,4,60.7,49.27401575,15.56666667,4.582677165,8.125984252,54.19156892,53.09853303,50.5,9.6,91.9,47.2,0.850393701,1.322834646,Forward Playing Defense,-1.194454908,-1.976943837,1.665433567
81,Erik Gudbranson,TOT,51,5.769230769,0.280668928,0.280668928,9.898785425,5.1,47.9,51.9291498,16.76666667,3.522267206,5.4048583,56.13378552,57.04595954,49.6,8.3,91.4,41,0,2.004048583,Bottom Pair Player,-2.543258764,-3.353836223,-0.022954015
82,Erik Gustafsson,TOT,66,1.204460967,0.209387541,0.837550166,11.28624535,5.8,40.7,51.13159851,17.36666667,2.587360595,3.836431227,57.00575816,60.04187751,48.7,10.1,90.7,55.9,0.936802974,2.587360595,Two-Way Player,2.767293647,3.266997477,1.281332628
83,Erik Johnson,COL,59,0.966183575,0.177203144,0.767880289,9.806763285,3,48.8,49.07165862,17.21666667,5.555555556,4.685990338,60.36720429,60.30813658,50,9.3,92.2,47.3,1.54589372,1.304347826,Forward Playing Defense,-1.590128533,1.905950611,0.711171791
84,Erik Karlsson,SJS,56,0.699198835,0.233766234,1.285714286,10.70648216,5,49.4,44.86525856,18.33333333,3.23379461,1.136198106,59.66883117,53.47402597,52.7,8.5,87.8,51.9,2.272396213,2.971595047,Norris Candidate,3.648193336,8.225079158,4.111555227
85,Esa Lindell,DAL,69,0.445820433,0.094689497,0.520792235,7.46749226,3.1,48.8,47.08235294,18.36666667,4.718266254,3.306501548,52.45798154,61.21676004,46.1,9.3,92.4,44.9,1.151702786,2.303405573,Bottom Pair Player,-3.742356142,1.176391514,-0.637697097
86,Ethan Bear,EDM,71,1.269230769,0.177442608,0.665409782,6.961538462,5.1,54.7,52.02115385,19.05,4.076923077,2.269230769,56.78163469,58.9996673,49,9.5,90.4,52.1,1.692307692,3.230769231,Forward Playing Defense,-0.231493992,3.137933288,1.550331082
87,Filip Hronek,DET,65,1.777205409,0.407614465,0.662373505,9.92916935,7.2,48.6,45.49581455,18.11666667,2.858982614,4.05666452,50.08562734,56.19984431,47.1,8.4,87.9,45.1,0.695428203,2.936252415,Forward Playing Defense,-0.109930915,3.121023732,3.147689836
88,Greg Pateryn,MIN,20,1.165048544,0,0.675844806,10.29126214,0,41.5,51.71521036,13.31666667,5.825242718,4.854368932,45.281602,60.15018773,42.9,12.4,91.1,47.4,0.582524272,1.165048544,Bottom Pair Player,-3.662724112,-2.888277015,-3.523526528
89,Gustav Lindstrom,DET,16,3.169811321,0,0,5.660377358,0,36,50.95849057,14.06666667,3.396226415,4.301886792,48.51895735,61.58175355,44.1,1.8,93.3,49.7,0.679245283,1.58490566,Healthy Scratch,-2.306681784,-6.946256365,-7.895360646
90,Hampus Lindholm,ANA,55,1.607565012,0.05994006,0.659340659,11.20567376,1.8,46,47.3286052,18.2,3.356973995,1.607565012,60.41958042,56.7032967,51.6,7.1,90.5,47,0.945626478,2.505910165,Forward Playing Defense,0.761561688,3.057119879,-0.72207759
91,Haydn Fleury,CAR,45,0.780487805,0.415584416,0.935064935,14.63414634,6.2,43.3,56.34146341,12.83333333,4.390243902,4.682926829,57.97402597,50.7012987,53.3,7.6,91.7,50.1,1.658536585,2.536585366,Two-Way Player,4.554740182,2.263940199,1.862522388
92,Henri Jokiharju,BUF,69,1.616161616,0.163897109,0.546323697,7.626262626,5.1,51.7,55.46717172,15.91666667,3.181818182,3.737373737,49.93398589,50.04325063,49.9,8,91.3,47.5,0.353535354,1.515151515,Stay-at-Home Defender,0.820164593,-2.489500642,-0.696423863
93,Ian Cole,COL,65,1.87826087,0.246153846,1.353846154,9.965217391,4.3,48.2,50.86956522,15,6.365217391,4.330434783,60.98461538,57.6,51.4,9.9,92.7,38.2,0.939130435,1.930434783,Forward Playing Defense,-3.804547552,1.545065498,1.727323422
94,Ilya Lyubushkin,ARI,51,1.491712707,0,0.339366516,7.458563536,0,45.6,58.60773481,13.86666667,4.392265193,12.51381215,55.82579186,56.41968326,49.7,7.7,94,48.7,1.077348066,1.657458564,Healthy Scratch,-1.267632011,-6.295739064,-5.406123288
95,Ivan Provorov,PHI,69,0.840140023,0.274840631,0.595488033,9.626604434,8.7,54.5,45.85239207,18.98333333,3.885647608,2.940490082,56.15910219,50.89132343,52.5,9.9,90.6,45.8,0.560093349,2.345390898,Forward Playing Defense,0.320336266,3.599734967,4.020094841
96,Jaccob Slavin,CAR,68,0.376884422,0.274543698,1.189689359,11.04271357,4.1,49.5,49.41959799,19.28333333,4.032663317,1.620603015,62.00111851,50.33301134,55.2,10.4,91,52.8,3.052763819,1.846733668,Norris Candidate,4.521057776,7.726343153,4.678349003
97,Jack Johnson,PIT,67,1.196319018,0.104434098,0.417736391,6.625766871,4.8,43.8,52.87039877,17.15,4.463190184,8.420245399,50.33723511,57.4909708,46.7,8.3,91.9,46.1,0.690184049,1.058282209,Bottom Pair Player,-2.473834139,-3.440895713,-2.223621455
98,Jacob Larsson,ANA,60,0.743034056,0.136054422,0.612244898,7.73993808,3.4,46.4,54.6130031,14.7,3.529411765,2.105263158,47.41496599,63.80952381,42.6,9.8,92,46.5,0.371517028,1.919504644,Bottom Pair Player,-2.697719588,-1.941039882,-1.913842232
99,Jacob Trouba,NYR,70,2.316455696,0.140771637,0.656934307,12.64556962,4.2,50.5,48.55696203,18.26666667,4.860759494,6.569620253,54.8540146,66.77267987,45.1,7.8,91.2,45.3,1.632911392,2.620253165,Forward Playing Defense,-3.307596935,1.775314099,0.530753544
100,Jake Gardiner,CAR,68,1.58870256,0.179664626,0.598882087,10.5913504,4.6,43.5,53.05560459,14.73333333,2.224183583,2.277140335,61.98429598,49.52754858,55.6,6.1,89,55.9,1.694616064,2.065313327,Two-Way Player,6.984753418,2.226356487,-0.029596101
101,Jake McCabe,BUF,66,2.011447261,0.112464855,0.562324274,7.211774325,4,51,52.34668847,16.16666667,4.415372036,4.464431725,50.44048735,50.94657919,49.8,7.5,90.3,43.7,0.932134096,1.030253475,Stay-at-Home Defender,-1.077463924,-2.37573214,-1.104582863
102,Jake Muzzin,TOR,53,2.096069869,0.366499253,0.977331342,10.00873362,6.1,51.8,51.47248908,18.53333333,5.76419214,5.711790393,62.91570517,56.07438577,52.9,10.7,89.8,46.1,1.257641921,3.301310044,Forward Playing Defense,-1.014186322,4.027822574,3.62845799
103,Jakob Chychrun,ARI,63,1.61358811,0.362318841,0.569358178,13.12101911,8.1,48.2,49.22292994,18.4,4.033970276,3.184713376,58.85093168,58.74741201,50,8.3,91.5,49.6,1.146496815,2.208067941,Forward Playing Defense,1.348147612,3.762787883,3.483241168
104,Jamie Oleksiak,DAL,69,2.254812099,0.172952198,0.403555129,8.19431714,3.9,51,57.23648029,15.08333333,3.244729606,8.414298808,57.99663704,52.11626231,52.7,5.5,92.4,49.3,1.319890009,2.529789184,Stay-at-Home Defender,1.712364061,-2.896190831,-1.8532757
105,Jan Rutta,TBL,33,1.637426901,0.130804447,0.784826684,9.473684211,2.3,53.1,53.64912281,13.9,2.456140351,2.222222222,59.90843689,52.06017005,53.5,11.3,91.3,50.9,0.233918129,0.935672515,Two-Way Player,2.917649778,-0.302585975,0.504444009
106,Jared Spurgeon,MIN,62,0.771428571,0.500077172,0.555641303,10.02857143,10.7,47.9,46.27857143,17.41666667,4.371428571,2.614285714,61.28723568,55.89751505,52.3,9.7,90.2,49.2,0.428571429,0.985714286,Norris Candidate,1.577537364,3.684464957,5.261856837
107,Jarred Tinordi,NSH,28,4.387096774,0.14159849,0.424795469,6.709677419,5,38.5,54.67526882,15.13333333,4.64516129,9.161290323,48.85147892,63.01132788,43.7,9,92.3,44.5,0.129032258,2.322580645,Healthy Scratch,-5.336899909,-6.163558161,-3.42477614
108,Jason Demers,ARI,50,1.463414634,0,0.671641791,6.204878049,0,50,52.29268293,17.86666667,4.097560976,4.448780488,53.46268657,61.18656716,46.6,8.5,93,45.7,0.87804878,1.873170732,Bottom Pair Player,-3.610674304,-1.657185086,-2.859273979
109,Jay Bouwmeester,STL,56,0.993377483,0.057707104,0.403949731,5.016556291,1.9,52.5,51.64238411,18.56666667,3.377483444,2.086092715,44.37676327,53.66760708,45.3,9,93.2,41.6,0.546357616,1.589403974,Bottom Pair Player,-3.549849995,-2.552343114,-2.038611276
110,Jeff Petry,MTL,71,0.929124479,0.311615081,0.890328803,13.11494937,7,43.1,48.16497915,18.98333333,2.823108993,6.325193568,66.73014381,50.30357739,57,7.1,89,52.2,1.072066706,3.144729005,Norris Candidate,5.558996548,6.09212231,3.13515433
111,Jeremy Lauzon,BOS,19,5.938566553,0.241367751,0.241367751,6.757679181,5,60.6,50.90443686,13.08333333,4.709897611,6.552901024,53.10090513,59.61783439,47.1,7.3,94.5,55.6,0.614334471,1.228668942,Bottom Pair Player,-2.58560998,-6.521435961,-0.364579809
112,Joakim Ryan,LAK,35,0.895522388,0.098522167,0.39408867,8.865671642,1.9,54.5,54.53731343,17.4,4.119402985,2.149253731,53.69458128,48.86699507,52.4,4.2,91.9,53.6,0.537313433,2.507462687,Stay-at-Home Defender,2.16564282,-1.132033042,-2.691573347
